,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
52774,Twitter,United States,North America,North America,30-34,32.0,Male,Developer; Engineer; Sr. Developer; Manager,"Executive (VP of Eng., CTO, CIO, etc.)","Executive (VP of Eng., CTO, CIO, etc.)",11+ years,13.0,"More than $200,000",210000.0,4.93,"Android; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Scala",Go; Java; Swift,Yes,7.0,Employed full-time,Software Products,100-499 employees,1-4 people,1,Part-time remote,I love my job,Twitter,Vim; Eclipse,A couple times a week,2-5 hours per week,Dogs,Mac OS X,Yes,2 - 100,Once a week,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Work/life balance; Opportunity for advancement; Office location,Searching for a job that seems interesting,100%,Show me more live code; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Agree somewhat,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,Inefficient development processes; Corporate policies; Non-technical management,To get help for my job; To receive help on my personal projects
52775,Twitter,United States,North America,North America,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$80,000 - $90,000",85000.0,4.93,JavaScript; SQL Server,JavaScript; Ruby,Yes,7.0,Employed full-time,Other (please specify),10-19 employees,10-14 people,0,Part-time remote,I love my job,A friend referred me,Sublime,Multiple times a day,1-2 hours per week,Cats,Mac OS X,Yes,1,Once a day,To keep my skills up to date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52780,Twitter,United States,North America,North America,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$110,000 - $120,000",115000.0,4.93,AngularJS; JavaScript; Node.js; Python; ReactJS; SQL,Go; JavaScript; Node.js,Yes,8.0,Employed full-time,Web Services,"10,000+ employees",5-9 people,0,I rarely work remotely,I'm neither satisfied nor dissatisfied,Other,Atom; IntelliJ,Multiple times a day,5-10 hours per week,Cats,Mac OS X,Yes,"501 - 1,000",Once a day,I want to be a better developer,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Company culture,The interview process,50%,Show me more live code; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Trek,Disagree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,I don't care about this,Fragile code base; Outdated technologies; Limited resources,To get help for my job; Beacause I love to learn
52782,Twitter,United States,North America,North America,30-34,32.0,Male,Developer; Sr. Developer,Front-end web developer,Front-end web developer,6 - 10 years,8.0,"$120,000 - $130,000",125000.0,4.93,AngularJS; JavaScript; Node.js; Ruby,JavaScript; Node.js; ReactJS,Other (please specify),7.0,Employed full-time,Finance / Banking,100-499 employees,10-14 people,2,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Vim,Multiple times a day,1-2 hours per week,Cats,Mac OS X,Yes,I'm not sure,Once a week,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Work/life balance; Quality of colleagues,Taking time off work to interview,60%,Show me the space in which I will work,Star Wars,Agree somewhat,Neutral,Agree somewhat,Agree completely,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree completely,Agree somewhat,Neutral,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Poor scheduling; Changing requirements,To get help for my job; To receive help on my personal projects
52789,Twitter,United States,North America,North America,30-34,32.0,Male,Manager; Expert; Hacker,Engineering manager,Engineering manager,11+ years,13.0,"$90,000 - $100,000",95000.0,4.93,"Android; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; PHP; Python; SQL; WordPress",Perl; PHP; WordPress,Yes,10.0,Employed full-time,Foundation / Non-Profit,20-99 employees,1-4 people,1,Full-time remote,I love my job,I knew I wanted to work here. I sought out the opportunity directly,Emacs,Multiple times a day,20+ hours per week,Cats,Debian,Yes,I'm not sure,Multiple times a day,Other (please specify),I'm self-taught,I am not interested in new job opportunities,Tech stack; Company culture; Remote working option,Searching for a job that seems interesting,90%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the team; interview_coffee,,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,,This is very important,This is very important,This is very important,Fragile code base; Unrealistic expectations; Outdated technologies; Interacting with non-technical people,To get help for my job
52806,Twitter,United States,North America,North America,30-34,32.0,Male,Developer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$90,000 - $100,000",95000.0,4.93,JavaScript; LAMP; PHP; SharePoint; SQL; SQL Server; Visual Basic; WordPress,JavaScript; LAMP; PHP; SQL; SQL Server,Yes,9.0,Employed full-time,Manufacturing,"1,000-4,999 employees",5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Atom,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,2 - 100,Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Quality of colleagues; Company reputation; Remote working option; Flexible work hours,Writing my CV and keeping it updated,40%,Show me more live code; Offer remote interviews (e.g. via video conference); Show me the space in which I will work,,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree somewhat,Agree somewhat,Neutral,Agree somewhat,Neutral,Disagree somewhat,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,Poor team dynamics; Inefficient development processes; Poor documentation; Corporate policies; Outdated technologies; Poor infrastructure or equipment; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; To demonstrate that I'm good at what I do
52831,Twitter,United States,North America,North America,40-49,44.5,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Hacker,Desktop developer,Desktop developer,11+ years,13.0,"$140,000 - $150,000",145000.0,4.93,Android; C; C++; Java; JavaScript; Node.js,"Android; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js",Other (please specify),9.0,Employed full-time,Software Products,10-19 employees,5-9 people,0,Part-time remote,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Sublime; Android Studio; Eclipse; Visual Studio,Multiple times a day,5-10 hours per week,Other (please specify),Windows 10,Other (please specify),1,Once a week,I'm curious,I'm self-taught; Industry certification program,"I'm not actively looking, but I am open to new opportunities",Health insurance; Work/life balance; Office location,Writing my CV and keeping it updated,30%,Introduce me to the team; Prepare me for who I will be speaking with,Star Wars; Star Trek,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,Fragile code base; Unrealistic expectations; Limited resources,To get help for my job; Because I can't do my job without it; Beacause I love to learn
52836,Twitter,United States,North America,North America,25-29,27.0,Male,,,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52847,Twitter,United States,North America,North America,20-24,22.0,Male,Developer; Engineer; Programmer; Full-stack Developer,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.93,Android; AngularJS; C#; Cordova; iOS; Java; JavaScript; Node.js; Objective-C; SharePoint; SQL; SQL Server; Visual Basic,C#; Cassandra; F#; JavaScript; MongoDB; Node.js; Ruby; SQL; SQL Server,Other (please specify),7.0,Employed full-time,Other (please specify),"5,000-9,999 employees",5-9 people,2,Part-time remote,I hate my job,Career fair,Sublime; Vim; Android Studio; Visual Studio; Xamarin; Xcode,Multiple times a day,2-5 hours per week,Cats,Windows 10,Yes,"1,001 - 5,000",Once a week,I want to be a better developer,B.S. in Computer Science (or related field),I am actively looking for a new job,Ability to make or influence important decisions; Tech stack; Quality of colleagues; Company culture; Flexible work hours,Taking time off work to interview,40%,Show me more live code; Introduce me to the team; Fewer brainteasers,Star Trek,Disagree somewhat,Neutral,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Neutral,Agree somewhat,Agree completely,Agree somewhat,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,Poor team dynamics; Outdated technologies; Interacting with stupid people,To get help for my job; Because I can't do my job without it; To communicate with others like me
52848,Twitter,United States,North America,North America,50-59,54.5,Male,Developer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$130,000 - $140,000",135000.0,4.93,"AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Redis; SQL; SQL Server","C#; Cloud (AWS, GAE, Azure, etc.); F#; JavaScript; ReactJS; Redis; SQL; SQL Server",No,10.0,Employed full-time,Consulting,100-499 employees,10-14 people,0,Full-time remote,I love my job,Contacted by company (in-house recruiter),Visual Studio,Multiple times a day,1-2 hours per week,Other (please specify),Windows 7,Yes,"10,001+",Multiple times a day,To keep my skills up to date,B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Building something that's significant; Remote working option,The interview process,80%,Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree completely,Neutral,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,Corporate policies; Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Beacause I love to learn
