Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
49709,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,10 to 11 years,2 to 3 years,NA,Web developer,Full stack Web developer,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Agree,I am not interested in new job opportunities,NA,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retirement; Vacation/days off; Health benefits; Remote options,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,Not very important,Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon,Official documentation; Stack Overflow Q&A; Company internal community; Built-in help,NA,Take online courses; Bootcamp; Conferences/meet-ups,9:00 AM,Java; JavaScript; Python; SQL,JavaScript,AngularJS; Node.js; React,Node.js; React; Firebase,MongoDB; MySQL,MongoDB; MySQL,NA,Amazon Web Services (AWS),Atom; Sublime Text; Vim; IntelliJ,Turn on some music,Agile; Scrum; Pair,Git,Once a day,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Disagree,Agree,Manager's rating; Peers' rating; Self-rating,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat satisfied,A lot of influence,Not much influence,Some influence,Not much influence,A lot of influence,Not much influence,Some influence,Some influence,No influence at all,No influence at all,Not much influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; Android browser,At least once each day,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Female,A master's degree,Hispanic or Latino/Latina; White or of European descent,Disagree,Somewhat agree,Disagree,Agree,NA,NA
49710,Professional developer,"Yes, I program as a hobby",United Kingdom,No,Employed full-time,Bachelor's degree,Computer programming or Web development,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",13 to 14 years,6 to 7 years,NA,Web developer; Desktop applications developer,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,JobSite.co.uk; LinkedIn; Monster; Total_Jobs,I was just giving it a regular update,I was contacted directly by someone at the company (e.g. internal recruiter),Not very important,Very important,Very important,Not at all important,Very important,Not very important,Somewhat important,Somewhat important,Not at all important,Very important,NA,NA,Tabs,Not at all important,Industry certification; On-the-job training; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Built-in help,NA,Get a job as a QA tester; Take online courses; Contribute to open source; Buy books and work through the exercises,8:00 AM,C#; JavaScript; SQL,C#; JavaScript; Python,NA,AngularJS; Xamarin; .NET Core,SQL Server,MongoDB,Windows Desktop,Windows Desktop; Raspberry Pi,Visual Studio,Turn on some music,Agile; Scrum; Pair; Kanban,Team Foundation Server,Multiple times a day,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Customer satisfaction; Benchmarked product performance; On time/in budget; Manager's rating; Peers' rating,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Somewhat satisfied,Somewhat satisfied,A lot of influence,No influence at all,No influence at all,Some influence,A lot of influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,I have created a CV or Developer Story on Stack Overflow,9,Desktop; Android browser; Other phone browser,Several times,Haven't done at all,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Male,A master's degree,White or of European descent,Disagree,Somewhat agree,Disagree,Somewhat agree,NA,NA
49711,Professional non-developer who sometimes writes code,No,Sweden,No,Employed full-time,Master's degree,Computer science or software engineering,Never,"10,000 or more employees","Privately-held limited company, not in startup mode",20 or more years,8 to 9 years,NA,NA,NA,NA,Other,7,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,"I'm not actively looking, but I am open to new opportunities",0,Between 1 and 2 years ago,Very important,Important,Somewhat important,Important,Important,Somewhat important,Important,Important,Important,Not at all important,Somewhat important,Important,Important,Important,Somewhat important,Vacation/days off; Private office; Expected work hours,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spaces,NA,Open source contributions,NA,NA,Contribute to open source; Participate in online coding competitions; Conferences/meet-ups,9:00 AM,Python,Python,NA,NA,NA,NA,Linux Desktop,Linux Desktop,Vim,Keep the room absolutely quiet,Agile; Scrum; Pair; Kanban,Git,A few times a week,Somewhat agree,NA,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,NA,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not much influence,A lot of influence,Some influence,Not much influence,A lot of influence,Not much influence,A lot of influence,No influence at all,Not much influence,No influence at all,Some influence,"I've visited Stack Overflow, but haven't logged in/created an account",8,Desktop,At least once each week,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,NA,NA,Disagree,Disagree,Agree,Strongly agree,Somewhat agree,Disagree,Male,Primary/elementary school,White or of European descent,Agree,Agree,Disagree,Agree,NA,NA
49712,Used to be a professional developer,"Yes, both",United Kingdom,No,"Independent contractor, freelancer, or self-employed",Doctoral degree,Mathematics or statistics,"Less than half the time, but at least one day each week",NA,NA,20 or more years,NA,9 to 10 years,NA,NA,NA,NA,6,7,Somewhat agree,Somewhat agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Somewhat agree,"With a hard ""g,"" like ""gift""",Strongly agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Disagree,Agree,"I'm not actively looking, but I am open to new opportunities",2,Less than a year ago,Important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not very important,Important,Important,Not very important,Not very important,Somewhat important,Important,Not very important,Expected work hours; Remote options,Yes,LinkedIn; Other,NA,NA,Important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Important,NA,NA,Tabs,NA,Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities; Built-in help,NA,Master's degree,11:00 AM,Java,Haskell; Java,NA,NA,NA,NA,NA,NA,Vim; Eclipse,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",6,Desktop,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,At least once each week,Haven't done at all,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Male,A master's degree,White or of European descent,Disagree,Somewhat agree,Disagree,Somewhat agree,NA,NA
49713,Professional developer,"Yes, I contribute to open source projects",Venezuela,No,Employed full-time,Doctoral degree,Computer programming or Web development,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,NA,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",40,More than 4 years ago,Very important,Important,Important,Somewhat important,Important,Important,Very important,Important,Somewhat important,Very important,Somewhat important,Very important,Important,Important,Very important,Retirement; Annual bonus; Private office,Yes,LinkedIn,"I completed a major project, assignment, or contract",I visited the company's Web site and found a job listing there,Very important,Important,Somewhat important,Not very important,Somewhat important,Important,Important,Not very important,Not at all important,Not very important,U.S. dollars ($),Somewhat overpaid,Tabs,NA,NA,NA,NA,NA,Midnight,C; C++; C#; JavaScript; Objective-C; Perl; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,NA,Xamarin; .NET Core,Firebase,SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Redis,Android; Windows Desktop; Linux Desktop; SharePoint; WordPress; Microsoft Azure,Amazon Web Services (AWS),Sublime Text; Visual Studio,Something else,Agile; Scrum; Extreme; Kanban; Domain-driven design,Subversion,A few times a month,Somewhat agree,Strongly disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Hours worked; On time/in budget; Self-rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I've visited Stack Overflow, but haven't logged in/created an account",3,Desktop,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Male,A professional degree,Hispanic or Latino/Latina,Strongly agree,Somewhat agree,Agree,Agree,2e4,NA
49714,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,It's complicated,10 to 19 employees,"Privately-held limited company, not in startup mode",20 or more years,18 to 19 years,NA,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; Systems administrator,NA,NA,NA,10,9,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",0,Not applicable/ never,Not very important,Very important,Important,Somewhat important,Very important,Important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Important,Not very important,Important,Very important,Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options,Yes,Other,I was just giving it a regular update,Some other way,Somewhat important,Somewhat important,NA,Somewhat important,Not very important,Important,Important,Important,Somewhat important,Important,U.S. dollars ($),Somewhat underpaid,Spaces,Very important,Industry certification; On-the-job training; Self-taught,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Company internal community; Built-in help,NA,Return to college,10:00 AM,C++; C#; Java; JavaScript; SQL; Visual Basic 6,C++; C#; F#; Java; JavaScript; SQL,AngularJS,AngularJS; Xamarin; .NET Core,SQL Server; MySQL; SQLite,SQL Server; MySQL; SQLite,Android; Windows Desktop; WordPress; Amazon Web Services (AWS),Android; Windows Desktop; Raspberry Pi; Amazon Web Services (AWS),Android Studio; Visual Studio,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Satisfied,Very satisfied,Satisfied,Somewhat satisfied,Satisfied,A lot of influence,Some influence,Some influence,A lot of influence,A lot of influence,No influence at all,A lot of influence,Some influence,Some influence,Not much influence,A lot of influence,I have created a CV or Developer Story on Stack Overflow,10,Desktop; Android browser; Android app,At least once each day,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Several times,At least once each day,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Disagree,Somewhat agree,Strongly disagree,Strongly agree,9e4,NA
49715,Professional developer,"Yes, I program as a hobby",Morocco,"Yes, full-time","Independent contractor, freelancer, or self-employed",Some college/university study without earning a bachelor's degree,Computer programming or Web development,About half the time,NA,NA,3 to 4 years,2 to 3 years,NA,Web developer,Full stack Web developer,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn; Other,"I completed a major project, assignment, or contract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,Not at all important,Online course; Self-taught,Stack Overflow Q&A; Built-in help,NA,NA,Noon,C; C#; Java; JavaScript; PHP; Python; SQL,Assembly; Java; JavaScript; PHP; Python; R,AngularJS,AngularJS; Node.js,MySQL,MongoDB; MySQL; SQLite,Windows Desktop; Linux Desktop,Android; Linux Desktop; Arduino; Raspberry Pi,Atom,Turn on some music,Agile; Scrum,Git,NA,Agree,Agree,Agree,Disagree,Agree,Somewhat agree,Agree,Hours worked; Customer satisfaction; Benchmarked product performance; On time/in budget,Satisfied,Satisfied,Satisfied,Somewhat satisfied,Not very satisfied,Not very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I've visited Stack Overflow, but haven't logged in/created an account",9,Desktop; Android browser,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,NA,NA,NA,NA,NA,NA,NA,NA,Male,High school,NA,Agree,NA,NA,Agree,NA,NA
49716,Professional developer,"Yes, I program as a hobby",Canada,No,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,20 or more years,20 or more years,NA,Graphics programming; Other,NA,NA,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Agree,Agree,Somewhat agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",0,Between 1 and 2 years ago,Important,Not very important,Not very important,Important,Important,Somewhat important,Very important,Very important,Very important,Important,Important,Somewhat important,Not at all important,Not very important,Very important,Stock options; Annual bonus; Vacation/days off; Equipment; Expected work hours,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canadian dollars (C$),Somewhat overpaid,Tabs,Not very important,Online course; Part-time/evening course; On-the-job training; Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Friends network; Built-in help,NA,Return to college; Buy books and work through the exercises; Other,10:00 AM,C++; Lua,C++,NA,NA,NA,NA,Linux Desktop,Linux Desktop,Visual Studio,Keep the room absolutely quiet,Agile; Lean; Scrum; Pair; Domain-driven design,Git,A few times a week,Somewhat agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Customer satisfaction; Benchmarked product performance; On time/in budget; Revenue performance; Manager's rating; Peers' rating; Self-rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10,Desktop,Several times,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Disagree,Male,"Some college/university study, no bachelor's degree",White or of European descent,Somewhat agree,Strongly agree,Disagree,Agree,116666.666666667,NA
49717,Student,"Yes, both",United States,"Yes, full-time",I prefer not to say,Some college/university study without earning a bachelor's degree,Computer science or software engineering,NA,NA,NA,6 to 7 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,"I'm not actively looking, but I am open to new opportunities",1,Less than a year ago,Somewhat important,Important,Not very important,Important,Somewhat important,Very important,Important,Very important,Very important,Very important,Not very important,Important,Very important,Somewhat important,Important,Health benefits; Equipment; Long-term leave; Remote options; Meals,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),NA,Tabs,NA,Online course; Part-time/evening course; Self-taught; Open source contributions,Official documentation; Stack Overflow Q&A,NA,Return to college; Take online courses; Contribute to open source; Part-time/evening courses,10:00 AM,C; C++; Java; JavaScript,Assembly; Java; JavaScript,NA,NA,NA,NA,Windows Desktop; Arduino; Raspberry Pi; Microsoft Azure,iOS; Windows Desktop; Mac OS; Raspberry Pi,Notepad++; Eclipse,Put on a movie or TV show,Waterfall; Agile; Scrum,Git,A few times a month,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Customer satisfaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have created a CV or Developer Story on Stack Overflow,9,Desktop; iOS browser; iOS app,Several times,Several times,Once or twice,Once or twice,Haven't done at all,Several times,Several times,Several times,Strongly disagree,Disagree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly disagree,Male; Female; Transgender,I don't know/not sure,White or of European descent; I prefer not to say,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,NA,78e3
49718,Professional developer,"Yes, both",United States,No,Employed full-time,Bachelor's degree,A humanities discipline,All or almost all the time (I'm full-time remote),10 to 19 employees,Non-profit/non-governmental organization or private school/university,20 or more years,19 to 20 years,NA,Web developer; DevOps specialist; Other,NA,NA,NA,7,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,I am not interested in new job opportunities,NA,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retirement; Annual bonus; Health benefits; Equipment; Remote options,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),NA,Spaces,Important,Online course; Bootcamp; On-the-job training; Self-taught; Open source contributions,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Built-in help,I already had a job as a developer when I started the program,Take online courses; Bootcamp; Part-time/evening courses; Buy books and work through the exercises,10:00 AM,Java; JavaScript; Python; Ruby; Scala,Python; Scala,AngularJS; Hadoop; Node.js; Spark,Spark,Redis; MySQL; PostgreSQL; SQLite,Redis; PostgreSQL; SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Atom; Emacs; IntelliJ; IPython / Jupyter,Turn on some music,Agile; Lean; Scrum; Extreme; Evidence-based SWE,Git,Multiple times a day,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Benchmarked product performance; On time/in budget; Peers' rating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",6,Desktop,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Male,A doctoral degree,White or of European descent,Agree,Disagree,Disagree,Somewhat agree,NA,NA
