ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
82050,I code primarily as a hobby,I prefer not to say,United States of America,NA,NA,Some college/university study without earning a degree,5 - 10 years,Online Courses or Certification;Other (please specify):,10,NA,NA,NA,NA,NA,NA,Bash/Shell;HTML/CSS;Python,Bash/Shell;Python,NA,NA,NA,NA,NA,NA,NA,NA,Git,Git,Visual Studio Code,Visual Studio Code,Linux-based,Go for a walk or other physical activity,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",No,Prefer not to say,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
82051,I am a developer by profession,Employed full-time,China,NA,NA,Primary/elementary school,18 - 24 years,Coding Bootcamp;School;Books / Physical media,5,5,"Developer, desktop or enterprise applications",20 to 99 employees,XPF	CFP franc,NA,NA,Java,Go,MySQL,MySQL,DigitalOcean;Oracle Cloud Infrastructure,NA,Vue.js,Vue.js,Apache Spark,Apache Spark,Git,Git;Kubernetes,IntelliJ;Notepad++;Rider;Vim,IntelliJ;Notepad++;Rider;Vim,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,No,NA,Neutral,No,25-34 years old,Man,No,NA,NA,NA,NA,NA,NA,NA
82052,I am a student who is learning to code,"Student, full-time",Australia,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);School",6,NA,NA,NA,NA,NA,NA,C++;HTML/CSS;VBA,C++;Python,MySQL,NA,NA,NA,NA,NA,.NET Framework,NA,Unity 3D,NA,Visual Studio,Visual Studio,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,A few times per month or weekly,No,NA,"No, not really",No,Under 18 years old,Man,No,Bisexual,White or of European descent,None of the above,None of the above,Too short,Easy,NA
82053,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Brazil,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Books / Physical media,40,NA,"Developer, front-end",NA,NA,NA,NA,Assembly;C++;COBOL;Delphi;JavaScript;LISP;Ruby;SQL;VBA,JavaScript;SQL;VBA,Microsoft SQL Server,Microsoft SQL Server,Google Cloud Platform,Google Cloud Platform,ASP.NET,NA,NA,NA,NA,NA,NA,NA,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,Neutral,No,65 years or older,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
82054,I am a developer by profession,"Student, full-time",Cambodia,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School",3,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js,HTML/CSS;Node.js;Python;TypeScript,NA,NA,NA,NA,Vue.js,Vue.js,NA,NA,Git;Yarn,Git;Yarn,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have an anxiety disorder,Appropriate in length,Easy,NA
82055,I am a developer by profession,Employed full-time,India,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",7,3,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",100 to 499 employees,INR	Indian rupee,NA,NA,Bash/Shell;JavaScript;Node.js;Python;TypeScript,Bash/Shell;JavaScript;Node.js;Python;Rust;TypeScript,DynamoDB;Firebase;MongoDB;Redis;SQLite,DynamoDB;Firebase;MongoDB;Redis;SQLite,AWS;Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,Express;Flask;React.js,Angular;Express;FastAPI;Flask;React.js;Svelte,Flutter,Flutter;Qt;TensorFlow;Torch/PyTorch,Docker;Git;Kubernetes;Terraform,Ansible;Deno;Docker;Git;Kubernetes;Terraform,Android Studio;Atom;IntelliJ;PyCharm;Visual Studio Code,Android Studio;Atom;IntelliJ;PyCharm;Visual Studio Code;Xcode,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,18-24 years old,Man,No,NA,NA,NA,None of the above,Appropriate in length,Easy,NA
82056,I code primarily as a hobby,"Not employed, and not looking for work",Philippines,NA,NA,Primary/elementary school,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",3,NA,NA,NA,NA,NA,NA,Python,HTML/CSS;JavaScript;Python,NA,NA,NA,NA,NA,NA,NA,NA,Git,Git,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,Multiple times per day,No,NA,"Yes, somewhat",Yes,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),NA,Easy,NA
82057,I am a student who is learning to code,"Student, full-time",Canada,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",2,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Swift,HTML/CSS;JavaScript;Swift,NA,NA,NA,NA,FastAPI;React.js,React.js,NA,NA,Git,Git,Visual Studio Code;Xcode,Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Neutral,No,Under 18 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
82058,I am a developer by profession,Employed full-time,Australia,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",8,3,"Developer, back-end;Designer",20 to 99 employees,AUD	Australian dollar,65000,Yearly,Java;Python,HTML/CSS;Java;JavaScript;Python,PostgreSQL,PostgreSQL,Google Cloud Platform,AWS;Google Cloud Platform,Flask;Spring,Django;Spring;Vue.js,NA,NA,Docker;Git,Docker;Git;Kubernetes,IntelliJ;Vim;Visual Studio Code,IntelliJ;Vim;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Queer,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,43426
82059,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United Arab Emirates,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",10,6,Other (please specify):,"1,000 to 4,999 employees",AED United Arab Emirates dirham,25000,Monthly,C++;Julia;Python,Julia;Python,SQLite,NA,AWS;Microsoft Azure,Microsoft Azure,NA,NA,NA,NA,Git,Git,Emacs;IPython/Jupyter;Visual Studio;Visual Studio Code,IPython/Jupyter;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,81672
